X [mm],Y [mm],Z [mm],mX [mm],mY [mm],mZ [mm],inFieldTag
-10.32,6.2,21.32,-9.79891,5.88694,-30.25,0.0942038
2.08,8.28,-11.72,2.041,8.12475,-30.25,1
10.32,8.28,25.48,9.75916,7.83002,-30.25,0.0907484
-14.48,2.04,6.84,-13.9466,1.96485,-30.25,0.0543532
-12.4,8.28,6.84,-11.9432,7.97498,-30.25,0.0649646
14.48,6.2,-3.48,14.091,6.03345,-30.25,0.0525776
-10.32,-2.04,2.76,-9.98027,-1.97284,-30.25,0.0955106
-12.4,-4.12,8.92,-11.9186,-3.96005,-30.25,0.0697188
-4.16,8.28,23.4,-3.94192,7.84594,-30.25,1
-16.56,-8.28,-13.8,-16.2838,-8.14189,-30.25,0.0415277
8.24,-4.12,-17.96,8.13688,-4.06844,-30.25,0.147417
-14.48,2.04,-11.72,-14.2085,2.00175,-30.25,0.0528443
8.24,6.2,-9.64,8.06852,6.07097,-30.25,0.13209
-10.32,2.04,35.8,-9.66192,1.90992,-30.25,0.101739
14.48,4.12,-3.48,14.091,4.00932,-30.25,0.0535096
-2.08,10.36,11,-1.99513,9.9373,-30.25,1
0,-8.28,-5.56,0,-8.07442,-30.25,1
-10.32,-8.28,39.96,-9.62327,-7.721,-30.25,0.0930518
-12.4,-8.28,-15.88,-12.2189,-8.1591,-30.25,0.0626611
-4.16,-8.28,39.96,-3.87915,-7.721,-30.25,1
14.48,-2.04,8.92,13.9178,-1.9608,-30.25,0.0545241
-2.08,-10.36,11,-1.99513,-9.9373,-30.25,1
4.16,-6.2,2.76,4.02306,-5.9959,-30.25,1
4.16,-8.28,-5.56,4.05672,-8.07442,-30.25,1
14.48,8.28,35.8,13.5567,7.75201,-30.25,0.053725
-10.32,-10.36,-17.96,-10.1908,-10.2303,-30.25,0.0776658
14.48,-6.2,37.88,13.5295,-5.79301,-30.25,0.0560913
0,-6.2,2.76,0,-5.9959,-30.25,1
8.24,8.28,6.84,7.93645,7.97498,-30.25,0.13538
-4.16,-8.28,2.76,-4.02306,-8.00743,-30.25,1
-10.32,2.04,-9.64,-10.1052,1.99755,-30.25,0.093267
8.24,-4.12,-3.48,8.01864,-4.00932,-30.25,0.152556
-8.24,-8.28,0.68,-7.98531,-8.02407,-30.25,0.133499
-10.32,-10.36,33.72,-9.68136,-9.71889,-30.25,0.0865469
2.08,2.04,0.68,2.01571,1.97695,-30.25,1
8.24,8.28,19.24,7.8399,7.87796,-30.25,0.139191
-14.48,-4.12,8.92,-13.9178,-3.96005,-30.25,0.0545242
2.08,-10.36,35.8,1.94736,-9.69937,-30.25,1
-12.4,-2.04,35.8,-11.6093,-1.90992,-30.25,0.0728741
-10.32,10.36,31.64,-9.70088,9.73848,-30.25,0.0861733
-2.08,-10.36,2.76,-2.01153,-10.019,-30.25,1
14.48,-4.12,37.88,13.5295,-3.84955,-30.25,0.0569473
12.4,4.12,33.72,11.6326,3.86504,-30.25,0.0726363
-2.08,6.2,-11.72,-2.041,6.08375,-30.25,1
-14.48,-4.12,13.08,-13.8607,-3.94379,-30.25,0.0548682
-4.16,6.2,11,-3.99027,5.94703,-30.25,1
10.32,2.04,8.92,9.91934,1.9608,-30.25,0.0966438
12.4,-10.36,37.88,11.586,-9.67993,-30.25,0.0659141
-2.08,10.36,31.64,-1.95522,9.73848,-30.25,1
-2.08,6.2,0.68,-2.01571,6.00836,-30.25,1
-4.16,2.04,-5.56,-4.05672,1.98935,-30.25,1
-4.16,-10.36,31.64,-3.91043,-9.73848,-30.25,1
0,-4.12,11,0,-3.9519,-30.25,1
12.4,-8.28,11,11.8941,-7.94217,-30.25,0.0653896
12.4,6.2,25.48,11.7261,5.86306,-30.25,0.0698306
16.56,-8.28,15.16,15.8192,-7.90962,-30.25,0.0432139
-16.56,8.28,33.72,-15.5352,7.76761,-30.25,0.0443057
8.24,-2.04,-11.72,8.0855,-2.00175,-30.25,0.149489
-2.08,8.28,-11.72,-2.041,8.12475,-30.25,1
-4.16,-2.04,8.92,-3.99849,-1.9608,-30.25,1
14.48,8.28,8.92,13.9178,7.95854,-30.25,0.0517059
-8.24,4.12,2.76,-7.96875,3.98437,-30.25,0.15493
0,-6.2,13.08,0,-5.93482,-30.25,1
-4.16,-2.04,21.32,-3.94995,-1.93699,-30.25,1
-14.48,-2.04,13.08,-13.8607,-1.95275,-30.25,0.054867
14.48,-10.36,0.68,14.0324,-10.0398,-30.25,0.0497668
-2.08,-2.04,2.76,-2.01153,-1.97284,-30.25,1
-14.48,-6.2,25.48,-13.6931,-5.86306,-30.25,0.0550213
8.24,6.2,-5.56,8.03542,6.04607,-30.25,0.133536
14.48,-8.28,27.56,13.6654,-7.81417,-30.25,0.0531035
-4.16,-6.2,23.4,-3.94192,-5.87498,-30.25,1
2.08,6.2,0.68,2.01571,6.00836,-30.25,1
8.24,6.2,-11.72,8.0855,6.08375,-30.25,0.13136
-10.32,4.12,2.76,-9.98027,3.98437,-30.25,0.0955014
0,4.12,31.64,0,3.87283,-30.25,1
14.48,-6.2,2.76,14.0033,-5.9959,-30.25,0.0530977
-12.4,-10.36,13.08,-11.8696,-9.9169,-30.25,0.0631172
14.48,10.36,-9.64,14.1787,10.1444,-30.25,0.0489558
-10.32,-8.28,-1.4,-10.0219,-8.04079,-30.25,0.0865176
10.32,-2.04,0.68,10.001,-1.97695,-30.25,0.0951308
